From Regime,Interpretation,Δγ₁ (VKOSPI Effect)
Low-Uncertainty (Calm),Log-odds of switching to High-Uncertainty,"0.1559 (-0.4980, 0.8097)"
High-Uncertainty (Crisis),Log-odds of remaining in High-Uncertainty,"1.1758 (0.4446, 1.9070)"
